Dataset: common_claim_true_false, Layer: 13
Compare: truthful vs deceptive

Aggregate Metrics:
  l2_mean        : 13.7782
  l2_std         : 0.7157
  cosine_mean    : 0.7213
  cosine_std     : 0.0287
  overlap_mean   : 0.2941
  overlap_std    : 0.0237

Top 20 Shifting Features:
Rank  Index           Abs Mean Diff  
-------------------------------------
1    83845          2.3594         
2    57272          2.1875         
3    42984          2.1094         
4    78839          2.0625         
5    6060           1.9609         
6    49099          1.8594         
7    55293          1.8438         
8    8250           1.7812         
9    90272          1.6875         
10   88407          1.6562         
11   41545          1.6406         
12   7468           1.6328         
13   53741          1.5078         
14   114040         1.4688         
15   43304          1.4531         
16   6289           1.4453         
17   16754          1.3984         
18   17282          1.3672         
19   80296          1.3594         
20   96590          1.3281         
