Dataset: common_claim_true_false, Layer: 31
Compare: truthful vs neutral

Aggregate Metrics:
  l2_mean        : 5.5716
  l2_std         : 1.3307
  cosine_mean    : 0.9486
  cosine_std     : 0.0248
  overlap_mean   : 0.7649
  overlap_std    : 0.0953

Top 20 Shifting Features:
Rank  Index           Abs Mean Diff  
-------------------------------------
1    51079          1.5625         
2    68294          1.2500         
3    16545          0.7656         
4    20309          0.6797         
5    33298          0.6641         
6    111072         0.6250         
7    66095          0.6211         
8    21490          0.6016         
9    5876           0.5625         
10   38927          0.5430         
11   75592          0.5156         
12   68224          0.4688         
13   24535          0.3750         
14   31741          0.3203         
15   127211         0.3027         
16   100252         0.2852         
17   34581          0.2812         
18   13689          0.2656         
19   27355          0.2500         
20   88540          0.2012         
